Crop;Approx_domestication;First_domestication_location;Soil_depth;Soil_nutrients;Preferred_rainfall;Temperature_range_C;Insolation;Preferred_soil_texture;Yield_low_t_ha;Yield_avg_t_ha;Yield_high_t_ha;Nitrogen Fixing (yes/no);Fibrous (yes/no);Spice (yes/no);Used for brewing tea/coffee/drinks;Fermented for beer/wine (yes/no);Sources (URLs), separate with `|` for parsing
Blackthorn / Sloe (Prunus spinosa — fruit/liqueur);Managed;Europe;Shallow–medium;Low–medium;400–1000 mm/yr; -10–30;High;Loam;0.5;2;6;;;;;;
Sand pear (Pyrus pyrifolia — Asian pear);Cultivated;East Asia;Shallow–medium;Medium;600–1200 mm/yr; -5–30;High;Loam;10;25;50;;;;;;
Bottle gourd (Lagenaria siceraria);Domesticated;Worldwide ancient (Africa/Asia);Shallow;Low–medium;400–1200 mm/yr;10–35;High;Loam;3;10;30;;;;;;
Jabuticaba (Plinia cauliflora — Brazilian fruit tree);Cultivated;Brazil;Shallow–medium;Medium;1200–3000 mm/yr;18–30;High;Loam;1;4;12;;;;;;
Lucuma (Pouteria lucuma);Cultivated;Andes;Shallow–medium;Medium;800–2000 mm/yr;8–24;High;Loam;2;6;15;;;;;;
Pepino (Solanum muricatum);Cultivated;Andes;Shallow;Medium;600–1500 mm/yr;8–24;High;Loam;5;12;30;;;;;;
Capuacu (Theobroma grandiflorum — cacao relative cultivated in Amazon);Cultivated;Amazon;Shallow;High;2000–4000 mm/yr;20–32;High;Loam;1;4;12;;;;;;
Pili nut (Canarium ovatum — Pacific nut);Cultivated;Philippines;Deep;Medium;1500–3000 mm/yr;20–32;High;Loam;0.2;0.8;3;;;;;;
White sapote (Casimiroa edulis);Cultivated;Mexico;Shallow–medium;Medium;800–2000 mm/yr;15–30;High;Loam;2;8;20;;;;;;
Mombin / Spondias spp. (hog plum) cultivated in tropics;Cultivated;Tropics;Shallow–medium;Medium;1000–2500 mm/yr;18–32;High;Loam;2;8;25;;;;;;
Ilama / Annona diversifolia (Annona species diversity cultivated);Cultivated;Mesoamerica;Shallow–medium;Medium;1000–2500 mm/yr;18–30;High;Loam;2;8;25;;;;;;
Yaupon holly (Ilex vomitoria — caffeinated tea native to SE US);Cultivated/managed;Southeastern US;Shallow–medium;Low–medium;800–1600 mm/yr;5–30;High;Loam;0.2;0.8;2.5;;;;;;
Guava (Psidium guajava);Domesticated;Central/South America;Shallow–medium;Medium;800–2000 mm/yr;15–32;High;Loam;5;15;40;;;;;;
Chayote (Sechium edule);Domesticated;Mesoamerica;Shallow–medium;Medium;1000–2000 mm/yr;15–30;High;Loam;5;15;40;;;;;;
Brazilian peppertree (Schinus terebinthifolia — spice/ornamental managed);Cultivated;South America;Shallow–medium;Low–medium;800–2000 mm/yr;15–30;High;Loam;0.2;0.8;2.5;;;;;;
Tucuma (Astrocaryum vulgare — Amazonian palm for pulp/oil);Cultivated/managed;Amazon;Shallow–medium;High;2000–4000 mm/yr;20–32;High;Loam;1;4;12;;;;;;
Araza (Eugenia stipitata);Cultivated;Amazon;Shallow–medium;High;2000–4000 mm/yr;20–32;High;Loam;1;4;12;;;;;;
Pineapple (Ananas comosus);Domesticated;South America;Shallow;Medium;1000–2500 mm/yr;20–30;High;Loam;10;30;80;;;;;;
Babassu (Attalea speciosa — palm oil/food);Managed;South America;Deep;High;2000–4000 mm/yr;20–32;High;Loam;1;4;12;;;;;;
Pequi (Caryocar brasiliense — Brazilian fruit/nut);Cultivated/managed;Brazilian Cerrado;Deep;Low–medium;800–1600 mm/yr;20–32;High;Sandy, well-drained;0.2;0.8;2.5;;;;;;
Buriti (Mauritia flexuosa — Amazonian palm fruit/oil);Managed/cultivated;Amazon basin;Shallow–medium;High;2000–4000 mm/yr;20–32;High;Peaty, swampy soils;2;8;25;;;;;;
Kapok (Ceiba pentandra — fiber/seeds);Cultivated historically;Tropical Americas/Asia/Africa;Deep;Medium;1000–3000 mm/yr;18–32;High;Loam;0.5;2;6;;;;;;
